DEPCOM,POLE,NCC
01003,01165,AMAREINS
01018,01033,ARLOD
01020,01125,ARNANS
01048,01245,BOHAS
01055,01283,BOUVENT
01070,01165,CESSEINS
01086,01414,CHARANCIN
01119,01080,CORCELLES
01120,01262,CORDIEUX
01126,01033,COUPY
01131,01189,CRAZ
01132,69274,CREPIEUX-LA-PAPE
01137,01426,CUISIAT
01144,01025,DOMMARTIN
01161,01414,FITIGNIEU
01164,01104,FORENS
01168,69278,GENAY
01172,01095,GERMAGNAT
01176,01187,GRAND-ABERGEMENT
01178,01240,GRANGES
01182,01338,GROSLEE
01201,01185,LACOUX
01217,01079,LILIGNOD
01220,01185,LOMPNES
01222,01185,LONGECOMBE
01223,01450,LOYES
01226,01036,LUTHEZIEU
01251,01313,MOENS
01253,01450,MOLLON
01256,69284,MONTANAY
01270,01410,NAPT
01271,01286,NATTAGES
01278,01091,OCHIAZ
01287,01079,PASSIN
01292,01187,PETIT-ABERGEMENT
01300,01204,POIZAT
01312,01426,PRESSIAT
01315,01202,PROULIEU
01316,01098,PUGIEU
01324,01245,RIGNAT
01326,69286,RILLIEUX
01327,01184,ROMANECHE
01340,01015,SAINT-BOIS
01377,01125,SAINT-MAURICE-D'ECHAZEAUX
01394,69292,SATHONAY-CAMP
01395,69293,SATHONAY-VILLAGE
01409,01187,SONGIEU
01438,01143,VESENEX-CRASSY
01440,01283,VEYZIAT
01455,01267,VOLOGNAT
01458,01091,VOUVRAY
02026,02458,ARTONGES
02045,02439,BARBONVAL
02092,02093,BLERANCOURDELLE
02113,02022,BRANGES
02147,02458,CELLE-SOUS-MONTMIRAIL
02161,02053,CHAPELLE-MONTHODON
02202,02220,COHAN
02247,02580,CUGNY-LES-CROUTTES
02285,59545,ESCAUFOURT
02300,02738,FARGNIERS
02314,02361,FLAVIGNY-LE-PETIT
02325,02458,FONTENELLE-EN-BRIE
02344,51664,GERNICOURT
02348,02439,GLENNES
02365,02124,HAMEGICOURT
02394,02008,JOUY
02436,02140,LOMBRAY
02437,02757,LONGCHAMPS
02479,02439,MERVAL
02597,02439,PERLES
02603,02810,PISSELEUX
02611,02559,PONT-A-BUCY
02630,02738,QUESSY
02646,02439,REVILLON
02669,02053,SAINT-AGNAN
02692,02307,SAINT-QUENTIN-SUR-ALLAN
02700,02308,SART
02771,02439,VAUXCERE
02811,02439,VILLERS-EN-PRAYERES
02825,02738,VOUEL
03123,03158,GIVARLAIS
03153,03158,LOUROUX-HODEMENT
03199,03315,NEUVILLE
03318,03168,VITRAY
04002,04167,AINAC
04003,04081,ALBIOSC
04010,04136,ARGENS
04011,04023,ASTOIN
04014,04109,AUGES
04015,04177,AURIBEAU
04029,04155,BLEGIERS
04038,04208,CARNIOL
04044,04039,CASTILLON
04048,04039,CHASTEUIL
04052,04144,CHATEAUNEUF-LES-MOUSTIERS
04056,04108,CHENERILLES
04060,04219,SAINT-MICHEL-PEYRESQ
04064,04173,COURCHONS
04071,04070,DOURBES
04078,04039,EOULX
04080,04097,ESCLANGON
04082,04023,ESPARRON-LA-BATIE
04083,04046,ESPINOUSE
04089,04226,FOURS
04098,04167,LAMBERT
04100,04120,LARCHE
04103,04107,LEVENS
04105,04192,LINCEL
04114,04155,MARIAUD
04117,04040,MELAN
04119,04161,MEOLANS
04125,04043,MONTBLANC
04131,04124,MONTPEZAT
04146,04217,PERUSSE
04147,04219,PEYRESQ
04153,04204,POIL
04165,04023,REYNIER
04168,04039,ROBION
04185,04046,SAINT-JURSON
04196,04075,SAINT-SYMPHORIEN
04198,04033,SAINT-VINCENT-LES-FORTS
04212,04039,TALOIRE
04213,04167,TANARON
04215,04039,TAULANNE
04221,04084,TREVANS
04223,04102,UBAYE
04225,04234,URTIS
04232,04208,VALSAINTES
04238,04075,VILHOSC
04239,04039,VILLARS-BRANDIS
04243,04043,VILLEVIEILLE
05002,05139,AGNIERES-EN-DEVOLUY
05005,05118,ANTONAVES
05015,05014,BARRET-LE-HAUT
05020,05132,BENEVENT-ET-CHARBILLAC
05030,05145,CHABOTTONNES
05034,05118,CHATEAUNEUF-DE-CHABRE
05041,05064,CLEMENCE-D'AMBEL
05042,05139,CLUSE
05043,05039,COSTES
05067,05132,INFOURNAS
05069,05053,LAGRAND
05083,05070,MONTEGLIN
05088,05024,MONTMORIN
05105,05118,POMET
05125,05061,ROMETTE
05137,05051,SAINT-CYRICE
05138,05139,SAINT-DISDIER
05141,05039,SAINT-EUSEBE-EN-CHAMPSAUR
05143,05053,SAINT-GENIS
05150,05024,SAINTE-MARIE
05175,05101,VALLOUISE
07021,07207,AURIOLLES
07043,07334,BRAHIC
07046,07031,CASTELJAU
07057,07334,CHASSAGNES
07125,07147,LAFIGERE
07164,07334,NAVES
07180,07204,POUZAT
07246,07284,SAINT-JEAN-DE-POURCHARESSE
07271,07270,SAINT-MARTIN-L'INFERIEUR
07320,07147,THINES
08002,08113,ADON
08007,08116,ALLEUX
08009,08311,AMBLIMONT
08012,08437,ANDEVANNE
08050,08437,BARRICOURT
08051,08069,BAY
08054,08319,BEAULIEU
08068,08490,BLAISE
08072,08491,BOSSEVAL-ET-BRIANCOURT
08091,08469,CASSINE
08093,08344,CERLEAU
08108,08081,CHATEAU-REGNAULT-BOGNY
08112,08057,CHATILLON-SUR-BAR
08114,08115,CHEHERY
08118,08490,CHESTRES
08127,08490,CONDE-LES-VOUZIERS
08129,08115,CONNAGE
08157,08105,ETION
08177,08189,FOULZY
08181,08409,FRENOIS
08213,08366,HARDOYE
08221,08169,HAVYS
08224,08240,HERBIGNY
08231,08194,IGES
08241,08024,JUZANCOURT
08253,08081,LEVREZY
08258,08113,LOGNY-LES-CHAUMONT
08261,08116,LOUVERGNY
08265,08366,MAINBRESSON
08266,08366,MAINBRESSY
08267,08145,MAIRY
08270,08115,MALMY
08285,08328,MEILLIER-FONTAINE
08290,08105,MEZIERES
08292,08105,MOHON
08299,08105,MONTCY-SAINT-PIERRE
08337,08362,PARGNY-RESSON
08345,08333,PRIMAT
08359,08437,REMONVILLE
08371,08053,RUBECOURT-ET-LAMECOURT
08414,08370,SERVION
08423,08089,SIVRY-LES-BUZANCY
08441,08198,TERMES
08442,08469,TERRON-LES-VENDRESSE
08443,08490,TERRON-SUR-AISNE
08447,08105,THEUX
08474,08311,VILLEMONTRY
08475,08053,VILLERS-CERNAY
08493,08490,VRIZY
08495,08113,WADIMONT
09010,09188,AMPLAING
09036,09306,BANAT
09112,09107,ENGRAVIES
09144,09059,IRAZEIN
09191,09107,MERVIEL
09248,09299,ROGALLE
09278,09030,SALEIX
09288,09107,SENESSE-DE-SENABUGUE
09317,09062,UCHENTEIN
09333,09223,VIC
09337,09264,VILLENEUVE-DU-BOSC
10001,10289,ABBAYE-SOUS-PLANCY
10016,10174,AUBIGNY
10036,10058,BEAUVOIR-SUR-SARCE
10088,10094,CHASSERICOURT
10152,10084,FONTAINE-LUYERES
10244,10019,MONTANGON
10277,10003,PALIS
10292,10208,PLESSIS-GATEBLED
10311,10148,QUINCEY
10322,10314,ROMAINES
10385,10386,TROUAN-LE-GRAND
10407,10289,VIAPRES-LE-GRAND
10413,10019,VILLEHARDOUIN
10415,10003,VILLEMAUR-SUR-VANNE
11050,11304,BRENAC
11171,11080,GUEYTES-ET-LABASTIDE
11237,11183,MOLIERES-SUR-L'ALBERTE
11349,11128,SAINT-JUST-DE-BELENGARD
11403,11206,VENDEMIES
12005,12223,ALPUECH
12014,12224,AURELLE-VERLAC
12020,12090,BALSAC
12040,12270,BUZEINS
12081,12177,COUSSERGUES
12087,12177,CRUEJOULS
12112,12223,GRAISSAC
12114,12076,GRAND-VABRE
12117,12223,LACALM
12123,12270,LAPANOUSE
12126,12270,LAVERNHE
12132,12257,LOUPIAC
12173,12076,NOAILHAC
12196,12270,RECOULES-PREVINQUIERES
12218,12076,SAINT-CYPRIEN-SUR-DOURDOU
12245,12021,SAINT-SALVADOU
12271,12120,SEVERAC-L'EGLISE
12279,12223,TERRISSE
12285,12021,VABRE-TIZAC
12302,12167,VILLEVAYRE
12304,12223,VITRAC-EN-VIADENE
12306,12056,VORS
13201,13055,MARSEILLE 1ER ARRONDISSEMENT
13202,13055,MARSEILLE 2E ARRONDISSEMENT
13203,13055,MARSEILLE 3E ARRONDISSEMENT
13204,13055,MARSEILLE 4E ARRONDISSEMENT
13205,13055,MARSEILLE 5E ARRONDISSEMENT
13206,13055,MARSEILLE 6E ARRONDISSEMENT
13207,13055,MARSEILLE 7E ARRONDISSEMENT
13208,13055,MARSEILLE 8E ARRONDISSEMENT
13209,13055,MARSEILLE 9E ARRONDISSEMENT
13210,13055,MARSEILLE 10E ARRONDISSEMENT
13211,13055,MARSEILLE 11E ARRONDISSEMENT
13212,13055,MARSEILLE 12E ARRONDISSEMENT
13213,13055,MARSEILLE 13E ARRONDISSEMENT
13214,13055,MARSEILLE 14E ARRONDISSEMENT
13215,13055,MARSEILLE 15E ARRONDISSEMENT
13216,13055,MARSEILLE 16E ARRONDISSEMENT
14004,14281,AIGNERVILLE
14008,14355,AMBLIE
14010,14654,AMMEVILLE
14017,14352,ANNEBECQ
14018,14061,ARCLAIS
14028,14371,AUQUAINVILLE
14029,14371,AUTELS-SAINT-BAZILE
14031,14431,AUTHIEUX-PAPION
14048,14614,BAYNES
14051,14231,BEAUFOUR
14052,14061,BEAULIEU
14056,14027,BAUQUAY
14058,14371,BELLOU
14065,14726,BERNIERES-LE-PATRY
14067,14654,BERVILLE
14071,14527,BIEVILLE-EN-AUGE
14072,14068,BIEVILLE-SUR-ORNE
14073,14579,BIGNE
14074,14005,BILLY
14075,14410,BISSIERES
14081,14654,BOISSEY
14094,14005,BRAY-LA-CAMPAGNE
14095,14200,BRECY
14099,14654,BRETTEVILLE-SUR-DIVES
14105,14576,BREVIERE
14108,14335,BROCOTTES
14109,14098,BROUAY
14112,14266,BULLY
14113,14726,BURCY
14114,14712,BURES-SUR-DIVES
14115,14061,BURES-LES-MONTS
14128,14027,CAMPANDRE-VALCONGRAIN
14129,14061,CAMPEAUX
14133,14431,CANON
14139,14061,CARVILLE
14142,14342,CASTILLY
14144,14689,CAUMONT-SUR-ORNE
14148,14371,CERQUEUX
14151,14658,CHAMP-DU-BOULT
14152,14174,CHAPELLE-ENGERBOLD
14153,14576,CHAPELLE-HAUTE-GRUE
14154,14570,CHAPELLE-YVON
14155,14371,CHEFFREVILLE-TONNENCOURT
14156,14726,CHENEDOLLE
14157,14098,CHEUX
14158,14456,CHICHEBOVILLE
14164,14349,CLINCHAMPS-SUR-ORNE
14170,14014,COLOMBY-SUR-THAON
14176,14005,CONTEVILLE
14178,14474,CORBON
14186,14406,COULOMBS
14187,14762,COULONCES
14188,14579,COULVAIN
14189,14431,COUPESARTE
14192,14658,COURSON
14199,14621,CRESSONNIERE
14201,14431,CREVECUR-EN-AUGE
14208,14431,CROISSANVILLE
14210,14371,CROUPTE
14212,14406,CULLY
14213,14689,CURCY-SUR-ORNE
14217,14672,DAMPIERRE
14219,14027,DANVOU-LA-FERRIERE
14222,14726,DESERT
14233,14431,ECAJEUL
14234,14654,ECOTS
14235,14281,ECRAMMEVILLE
14247,14735,ESCURES-SUR-FAVIERES
14253,14726,ESTRY
14255,14061,ETOUVY
14259,14371,FAMILLY
14262,14061,FERRIERE-AU-DOYEN
14263,14027,FERRIERE-DUVAL
14264,14061,FERRIERE-HARANG
14265,14371,FERVAQUES
14267,14011,FEUGUEROLLES-SUR-SEULLES
14268,14005,FIERVILLE-BRAY
14279,14658,FONTENERMONT
14292,14740,FRIARDEL
14295,14654,GARNETOT
14296,14658,GAST
14313,14431,GRANDCHAMP-LE-CHATEAU
14314,14654,GRANDMESNIL
14315,14126,GRANDOUET
14317,14061,GRAVERIE
14321,14735,GRISY
14323,14335,HAM
14324,14689,HAMARS
14330,14371,HEURTEVENT
14331,14654,HIEVILLE
14340,14515,HUPPAIN
14350,14672,LANDE-SUR-DROME
14351,14762,LANDE-VAUMONT
14356,14543,LASSON
14359,14431,LECAUDE
14361,14174,LENAULT
14363,14654,LIEURY
14372,14143,LIVRY
14373,14475,LOCHEUR
14376,14011,LONGRAYE
14382,14281,LOUVIERES
14386,14431,MAGNY-LA-CAMPAGNE
14387,14431,MAGNY-LE-FREULE
14388,14762,MAISONCELLES-LA-JOURDAN
14392,14312,MAISY
14395,14061,MALLOUE
14413,14347,MESNIL-AUZOUF
14414,14371,MESNIL-BACLEY
14415,14658,MESNIL-BENOIST
14416,14658,MESNIL-CAUSSOIS
14417,14658,MESNIL-CLINCHAMPS
14418,14371,MESNIL-DURAND
14420,14371,MESNIL-GERMAIN
14422,14431,MESNIL-MAUGER
14423,14098,MESNIL-PATRY
14428,14342,MESTRY
14429,14371,MEULLES
14432,14475,MISSY
14433,14654,MITTOIS
14434,14370,MOLAY
14440,14061,MONTAMY
14441,14061,MONT-BERTRAND
14442,14726,MONTCHAMP
14443,14061,MONTCHAUVET
14444,14431,MONTEILLE
14447,14654,MONTPINCON
14450,14654,MONTVIETTE
14451,14735,MORIERES
14459,14371,MOUTIERS-HUBERT
14462,14342,NEUILLY-LA-FORET
14463,14721,NEUILLY-LE-MALHERBE
14464,14762,NEUVILLE
14470,14610,NORREY-EN-BESSIN
14471,14371,NOTRE-DAME-DE-COURSON
14472,14654,OUDON
14477,14027,ONDEFONTAINE
14479,14011,ORBOIS
14481,14342,OUBEAUX
14485,14764,OUILLY-LE-BASSET
14489,14654,OUVILLE-LA-BIEN-TOURNEE
14490,14143,PARFOURU-L'ECLIN
14493,14431,PERCY-EN-AUGE
14503,14726,PIERRES
14507,50592,PLEINES-UVRES
14508,14027,PLESSIS-GRIMOULT
14513,50649,PONT-FARCY
14517,14005,POUSSY-LA-CAMPAGNE
14518,14371,PREAUX-SAINT-SEBASTIEN
14521,14726,PRESLES
14523,14174,PROUSSY
14525,14098,PUTOT-EN-BESSIN
14526,14011,QUESNAY-GUESNON
14532,14061,RECULEY
14537,14046,ROBEHOMME
14539,14726,ROCQUE
14544,14027,ROUCAMPS
14545,14762,ROULLOURS
14548,14406,RUCQUEVILLE
14549,14726,RULLY
14551,14591,RUSSY
14553,14037,SAINT-AGNAN-LE-MALHERBE
14560,14231,SAINT-AUBIN-LEBIZAY
14561,14126,SAINT-AUBIN-SUR-ALGOT
14564,14726,SAINT-CHARLES-DE-PERCY
14567,14431,SAINT-CRESPIN
14568,14098,SAINTE-CROIX-GRAND-TONNE
14573,14061,SAINT-DENIS-MAISONCELLES
14577,14200,SAINT-GABRIEL-BRECY
14580,14654,SAINT-GEORGES-EN-AUGE
14581,14011,SAINT-GERMAIN-D'ECTOT
14583,14576,SAINT-GERMAIN-DE-MONTGOMMERY
14584,14762,SAINT-GERMAIN-DE-TALLEVENDE-LA-LANDE-VAUMONT
14585,14174,SAINT-GERMAIN-DU-CRIOULT
14594,14366,SAINT-JACQUES
14596,14672,SAINT-JEAN-DES-ESSARTIERS
14597,14357,SAINT-JEAN-LE-BLANC
14599,14570,SAINT-JULIEN-DE-MAILLOC
14600,14431,SAINT-JULIEN-LE-FAUCON
14608,14527,SAINT-LOUP-DE-FRIBOIS
14611,14658,SAINT-MANVIEU-BOCAGE
14612,14764,SAINT-MARC-D'OUILLY
14615,14371,SAINTE-MARGUERITE-DES-LOGES
14616,14654,SAINTE-MARGUERITE-DE-VIETTE
14617,14431,SAINTE-MARIE-AUX-ANGLAIS
14618,14061,SAINTE-MARIE-LAUMONT
14624,14654,SAINT-MARTIN-DE-FRESNAY
14628,14689,SAINT-MARTIN-DE-SALLEN
14629,14061,SAINT-MARTIN-DES-BESACES
14631,14762,SAINT-MARTIN-DE-TALLEVENDE
14632,14061,SAINT-MARTIN-DON
14633,14371,SAINT-MARTIN-DU-MESNIL-OURY
14634,14371,SAINT-MICHEL-DE-LIVET
14636,14061,SAINT-OUEN-DES-BESACES
14638,14371,SAINT-OUEN-LE-HOUX
14641,14126,SAINT-PAIR-DU-MONT
14642,14194,SAINT-PAUL-DE-COURTONNE
14647,14570,SAINT-PIERRE-DE-MAILLOC
14653,14174,SAINT-PIERRE-LA-VIEILLE
14655,14061,SAINT-PIERRE-TARENTAINE
14662,14357,SAINT-VIGOR-DES-MEZERETS
14666,14712,SANNERVILLE
14670,14543,SECQUEVILLE-EN-BESSIN
14671,14658,SEPT-FRERES
14673,14011,SERMENTOT
14683,14228,TAILLEVILLE
14686,14726,THEIL-BOCAGE
14688,14654,THIEVILLE
14690,14355,TIERCEVILLE
14693,14570,TORDOUET
14695,14011,TORTEVAL-QUESNAY
14696,14371,TORTISAMBERT
14697,14654,TOTES
14702,14475,TOURNAY-SUR-ODON
14704,14061,TOURNEUR
14717,14762,TRUTTEMER-LE-GRAND
14718,14762,TRUTTEMER-LE-PETIT
14722,14143,VACQUERIE
14725,14333,VASOUY
14727,14035,VAUBADON
14729,14654,VAUDELOGES
14730,14762,VAUDRY
14736,14118,VENOIX
14746,14726,VIESSOIX
14749,14431,VIEUX-FUME
14750,14654,VIEUX-PONT-EN-AUGE
14757,14200,VILLIERS-LE-SEC
14763,14342,VOUILLY
15023,15108,BOURNONCLES
15031,15141,CELLES
15035,15141,CHALINARGUES
15039,15001,CHANET
15044,15138,CHASTEL-SUR-MURAT
15047,15141,CHAVAGNAC
15062,15003,DRIGNAC
15068,15108,FAVEROLLES
15071,15181,FOURNOULES
15099,15142,LAVASTRIE
15109,15153,LOUPIAC
15115,15038,MARCHAL
15145,15142,ORADOUR
15150,15268,PERS
15171,15141,SAINTE-ANASTASIE
15177,15153,SAINT-CHRISTOPHE-LES-GORGES
15193,15113,SAINT-JULIEN-DE-JORDANNE
15195,15108,SAINT-JUST
15197,15108,SAINT-MARC
15210,15202,SAINT-REMY-DE-SALERS
15227,15142,SERIERS
15239,15153,TOURNIAC
16004,16230,AIGNES-ET-PUYPEROUX
16006,16242,AIZECQ
16021,16175,AUBEVILLE
16022,16339,AUGE
16033,16023,BAYERS
16043,16148,BIGNAC
16080,16192,CHANTREZAC
16092,16082,CHAVENAT
16094,16023,CHENOMMET
16115,16046,CRESSAC-SAINT-GENIS
16126,16253,EMBOURIE
16129,16204,ERAVILLE
16159,16297,GRAVES
16172,16082,JUILLAGUET
16179,16224,LAMERAC
16201,16175,MAINFONDS
16219,16242,MESSEUX
16235,16242,MOUTARDON
16247,16204,NONAVILLE
16257,16175,PEREUIL
16262,16286,PLAIZAC
16265,16046,PORCHERESSE
16266,16242,POUGNE
16278,16097,RICHEMONT
16288,16192,ROUMAZIERES
16294,16230,SAINT-AMANT-DE-MONTMOREAU
16296,16300,SAINT-AMANT-DE-BONNIEURE
16299,16193,SAINT-ANDRE
16305,16073,SAINT-CHRISTOPHE-DE-CHALAIS
16309,16300,SAINTE-COLOMBE
16311,16230,SAINT-CYBARD
16313,16287,SAINT-ESTEPHE
16314,16230,SAINT-EUTROPE
16319,16046,SAINT-GENIS-DE-BLANZAC
16322,16106,SAINT-GERMAIN-DE-CONFOLENS
16324,16242,SAINT-GERVAIS
16327,16028,SAINT-HILAIRE
16328,16230,SAINT-LAURENT-DE-BELZAGOT
16333,16073,SAINTE-MARIE
16367,16073,SERIGNAC
16371,16286,SONNEVILLE
16386,16204,TOUZAC
16407,16198,VILLARS
16417,16204,VIVILLE
17001,17397,AGONNAY
17014,17332,ANTIGNAC
17040,17277,BENATE
17088,17013,CHAPELLE-BATON
17090,17240,CHARDES
17103,17457,CHERVETTES
17123,17397,COULONGE-SUR-CHARENTE
17144,17026,EBEON
17170,17243,GARDE
17238,17295,MOINGS
17251,17282,MOULONS
17352,17457,SAINT-LAURENT-DE-LA-BARRIERE
17368,17043,SAINT-MARTIN-DE-LA-COUDRE
17370,17454,SAINT-MAURICE-DE-LAURENCANNE
17371,17295,SAINT-MAURICE-DE-TAVERNOLE
17392,17160,SAINT-ROMAIN-SUR-GIRONDE
17399,17098,SAINT-SEURIN-D'UZET
17419,17024,SALLES-LES-AULNAY
17456,17240,VALLET
17475,17474,VILLENOUVELLE
19183,19010,SAINT-BAZILE-DE-LA-ROCHE
19197,19275,SAINT-DEZERY
19218,19252,SAINT-JULIEN-PRES-BORT
19224,19034,SAINT-MATHURIN-LEOBAZEL
19267,19275,TOURETTE
19282,19123,VENARSAL
20001,2A001,AFA
20002,2B002,AGHIONE
20003,2B003,AITI
20004,2A004,AJACCIO
20005,2B005,ALANDO
20006,2A006,ALATA
20007,2B007,ALBERTACCE
20008,2A008,ALBITRECCIA
20009,2B009,ALERIA
20010,2B010,ALGAJOLA
20011,2A011,ALTAGENE
20012,2B012,ALTIANI
20013,2B013,ALZI
20014,2A014,AMBIEGNA
20015,2B015,AMPRIANI
20016,2B016,ANTISANTI
20017,2A017,APPIETTO
20018,2A018,ARBELLARA
20019,2A019,ARBORI
20020,2B020,AREGNO
20021,2A021,ARGIUSTA-MORICCIO
20022,2A022,ARRO
20023,2B023,ASCO
20024,2A024,AULLENE
20025,2B025,AVAPESSA
20026,2A026,AZILONE-AMPAZA
20027,2A027,AZZANA
20028,2A028,BALOGNA
20029,2B029,BARBAGGIO
20030,2B030,BARRETTALI
20031,2A031,BASTELICA
20032,2A032,BASTELICACCIA
20033,2B033,BASTIA
20034,2B034,BELGODERE
20035,2A035,BELVEDERE-CAMPOMORO
20036,2B036,BIGORNO
20037,2B037,BIGUGLIA
20038,2A038,BILIA
20039,2B039,BISINCHI
20040,2A040,BOCOGNANO
20041,2A041,BONIFACIO
20042,2B042,BORGO
20043,2B043,BRANDO
20045,2B045,BUSTANICO
20046,2B046,CAGNANO
20047,2B047,CALACUCCIA
20048,2A048,CALCATOGGIO
20049,2B049,CALENZANA
20050,2B050,CALVI
20051,2B051,CAMBIA
20052,2B052,CAMPANA
20053,2B053,CAMPI
20054,2B054,CAMPILE
20055,2B055,CAMPITELLO
20056,2A056,CAMPO
20057,2B057,CANALE-DI-VERDE
20058,2B058,CANARI
20059,2B059,CANAVAGGIA
20060,2A060,CANNELLE
20061,2A061,CARBINI
20062,2A062,CARBUCCIA
20063,2B063,CARCHETO-BRUSTICO
20064,2A064,CARDO-TORGIA
20065,2A065,CARGESE
20066,2A066,CARGIACA
20067,2B067,CARPINETO
20068,2B068,CARTICASI
20069,2B069,CASABIANCA
20070,2A070,CASAGLIONE
20071,2A071,CASALABRIVA
20072,2B072,CASALTA
20073,2B073,CASAMACCIOLI
20074,2B074,CASANOVA
20075,2B075,CASEVECCHIE
20077,2B077,CASTELLARE-DI-CASINCA
20078,2B078,CASTELLARE-DI-MERCURIO
20079,2B079,CASTELLO-DI-ROSTINO
20080,2B080,CASTIFAO
20081,2B081,CASTIGLIONE
20082,2B082,CASTINETA
20083,2B083,CASTIRLA
20084,2B084,CATERI
20085,2A085,CAURO
20086,2B086,CENTURI
20087,2B087,CERVIONE
20088,2B088,CHIATRA
20089,2A089,CIAMANNACCE
20090,2A090,COGGIA
20091,2A091,COGNOCOLI-MONTICCHI
20092,2A092,CONCA
20093,2B093,CORBARA
20094,2A094,CORRANO
20095,2B095,CORSCIA
20096,2B096,CORTE
20097,2B097,COSTA
20098,2A098,COTI-CHIAVARI
20099,2A099,COZZANO
20100,2A100,CRISTINACCE
20101,2B101,CROCE
20102,2B102,CROCICCHIA
20103,2A103,CUTTOLI-CORTICCHIATO
20104,2A104,ECCICA-SUARELLA
20105,2B105,ERBAJOLO
20106,2B106,ERONE
20107,2B107,ERSA
20108,2A108,EVISA
20109,2B109,FARINOLE
20110,2B110,FAVALELLO
20111,2B111,FELCE
20112,2B112,FELICETO
20113,2B113,FICAJA
20114,2A114,FIGARI
20115,2A115,FOCE
20116,2B116,FOCICCHIA
20117,2A117,FORCIOLO
20118,2A118,FOZZANO
20119,2A119,FRASSETO
20120,2B120,FURIANI
20121,2B121,GALERIA
20122,2B122,GAVIGNANO
20123,2B123,GHISONACCIA
20124,2B124,GHISONI
20125,2B125,GIOCATOJO
20126,2B126,GIUNCAGGIO
20127,2A127,GIUNCHETO
20128,2A128,GRANACE
20129,2A129,GROSSA
20130,2A130,GROSSETO-PRUGNA
20131,2A131,GUAGNO
20132,2A132,GUARGUALE
20133,2A133,GUITERA-LES-BAINS
20134,2B134,ILE-ROUSSE
20135,2B135,ISOLACCIO-DI-FIUMORBO
20136,2B136,LAMA
20137,2B137,LANO
20138,2B138,LAVATOGGIO
20139,2A139,LECCI
20140,2B140,LENTO
20141,2A141,LETIA
20142,2A142,LEVIE
20143,2B143,LINGUIZZETTA
20144,2A144,LOPIGNA
20145,2B145,LORETO-DI-CASINCA
20146,2A146,LORETO-DI-TALLANO
20147,2B147,LOZZI
20148,2B148,LUCCIANA
20149,2B149,LUGO-DI-NAZZA
20150,2B150,LUMIO
20152,2B152,LURI
20153,2B153,MANSO
20154,2A154,MARIGNANA
20155,2B155,MATRA
20156,2B156,MAUSOLEO
20157,2B157,MAZZOLA
20158,2A158,MELA
20159,2B159,MERIA
20160,2A160,MOCA-CROCE
20161,2B161,MOITA
20162,2B162,MOLTIFAO
20163,2A163,MONACIA-D'AULLENE
20164,2B164,MONACIA-D'OREZZA
20165,2B165,MONCALE
20166,2B166,MONTE
20167,2B167,MONTEGROSSO
20168,2B168,MONTICELLO
20169,2B169,MOROSAGLIA
20170,2B170,MORSIGLIA
20171,2B171,MURACCIOLE
20172,2B172,MURATO
20173,2B173,MURO
20174,2A174,MURZO
20175,2B175,NESSA
20176,2B176,NOCARIO
20177,2B177,NOCETA
20178,2B178,NONZA
20179,2B179,NOVALE
20180,2B180,NOVELLA
20181,2A181,OCANA
20182,2B182,OCCHIATANA
20183,2B183,OGLIASTRO
20184,2B184,OLCANI
20185,2B185,OLETTA
20186,2A186,OLIVESE
20187,2B187,OLMETA-DI-CAPOCORSO
