DEPCOM,POLE,NCC
20188,2B188,OLMETA-DI-TUDA
20189,2A189,OLMETO
20190,2B190,OLMI-CAPPELLA
20191,2A191,OLMICCIA
20192,2B192,OLMO
20193,2B193,OMESSA
20194,2B194,ORTALE
20195,2B195,ORTIPORIO
20196,2A196,ORTO
20197,2A197,OSANI
20198,2A198,OTA
20199,2B199,PALASCA
20200,2A200,PALNECA
20201,2B201,PANCHERACCIA
20202,2B202,PARATA
20203,2A203,PARTINELLO
20204,2A204,PASTRICCIOLA
20205,2B205,PATRIMONIO
20206,2B206,PENTA-ACQUATELLA
20207,2B207,PENTA-DI-CASINCA
20208,2B208,PERELLI
20209,2A209,PERI
20210,2B210,PERO-CASEVECCHIE
20211,2A211,PETRETO-BICCHISANO
20212,2A212,PIANA
20213,2B213,PIANELLO
20214,2B214,PIANO
20215,2A215,PIANOTOLLI-CALDARELLO
20216,2B216,PIAZZALI
20217,2B217,PIAZZOLE
20218,2B218,PIEDICORTE-DI-GAGGIO
20219,2B219,PIEDICROCE
20220,2B220,PIEDIGRIGGIO
20221,2B221,PIEDIPARTINO
20222,2B222,PIE-D'OREZZA
20223,2B223,PIETRALBA
20224,2B224,PIETRACORBARA
20225,2B225,PIETRA-DI-VERDE
20226,2B226,PIETRASERENA
20227,2B227,PIETRICAGGIO
20228,2A228,PIETROSELLA
20229,2B229,PIETROSO
20230,2B230,PIEVE
20231,2B231,PIGNA
20232,2A232,PILA-CANALE
20233,2B233,PINO
20234,2B234,PIOBETTA
20235,2B235,PIOGGIOLA
20236,2B236,POGGIO-DI-NAZZA
20238,2B238,POGGIO-DI-VENACO
20239,2B239,POGGIO-D'OLETTA
20240,2A240,POGGIOLO
20241,2B241,POGGIO-MARINACCIO
20242,2B242,POGGIO-MEZZANA
20243,2B243,POLVEROSO
20244,2B244,POPOLASCA
20245,2B245,PORRI
20246,2B246,PORTA
20247,2A247,PORTO-VECCHIO
20248,2B248,PRATO-DI-GIOVELLINA
20249,2A249,PROPRIANO
20250,2B250,PRUNELLI-DI-CASACCONI
20251,2B251,PRUNELLI-DI-FIUMORBO
20252,2B252,PRUNO
20253,2A253,QUASQUARA
20254,2A254,QUENZA
20255,2B255,QUERCITELLO
20256,2B256,RAPAGGIO
20257,2B257,RAPALE
20258,2A258,RENNO
20259,2A259,REZZA
20260,2B260,RIVENTOSA
20261,2B261,ROGLIANO
20262,2A262,ROSAZIA
20263,2B263,ROSPIGLIANI
20264,2B264,RUSIO
20265,2B265,RUTALI
20266,2A266,SALICE
20267,2B267,SALICETO
20268,2A268,SAMPOLO
20269,2A269,SARI-SOLENZARA
20270,2A270,SARI-D'ORCINO
20271,2A271,SARROLA-CARCOPINO
20272,2A272,SARTENE
20273,2B273,SCATA
20274,2B274,SCOLCA
20275,2B275,SERMANO
20276,2A276,SERRA-DI-FERRO
20277,2B277,SERRA-DI-FIUMORBO
20278,2A278,SERRA-DI-SCOPAMENE
20279,2A279,SERRIERA
20280,2B280,SILVARECCIO
20281,2B281,SISCO
20282,2A282,SOCCIA
20283,2B283,SOLARO
20284,2A284,SOLLACARO
20285,2A285,SORBOLLANO
20286,2B286,SORBO-OCAGNANO
20287,2B287,SORIO
20288,2A288,SOTTA
20289,2B289,SOVERIA
20290,2B290,SPELONCATO
20291,2B291,STAZZONA
20292,2B292,SANT'ANDREA-DI-BOZIO
20293,2B293,SANT'ANDREA-DI-COTONE
20295,2A295,SANT'ANDREA-D'ORCINO
20296,2B296,SANT'ANTONINO
20297,2B297,SAN-DAMIANO
20298,2B298,SAINT-FLORENT
20299,2B299,SAN-GAVINO-D'AMPUGNANI
20300,2A300,SAN-GAVINO-DI-CARBINI
20301,2B301,SAN-GAVINO-DI-TENDA
20302,2B302,SAN-GIOVANNI-DI-MORIANI
20303,2B303,SAN-GIULIANO
20304,2B304,SAN-LORENZO
20305,2B305,SAN-MARTINO-DI-LOTA
20306,2B306,SANTA-LUCIA-DI-MERCURIO
20307,2B307,SANTA-LUCIA-DI-MORIANI
20308,2A308,SAINTE-LUCIE-DE-TALLANO
20309,2B309,SANTA-MARIA-DI-LOTA
20310,2A310,SANTA-MARIA-FIGANIELLA
20311,2B311,SANTA-MARIA-POGGIO
20312,2A312,SANTA-MARIA-SICHE
20313,2B313,SAN-NICOLAO
20314,2B314,SANTO-PIETRO-DI-TENDA
20315,2B315,SANTO-PIETRO-DI-VENACO
20316,2B316,SANTA-REPARATA-DI-BALAGNA
20317,2B317,SANTA-REPARATA-DI-MORIANI
20318,2B318,TAGLIO-ISOLACCIO
20319,2B319,TALASANI
20320,2B320,TALLONE
20321,2B321,TARRANO
20322,2A322,TASSO
20323,2A323,TAVACO
20324,2A324,TAVERA
20326,2A326,TOLLA
20327,2B327,TOMINO
20328,2B328,TOX
20329,2B329,TRALONCA
20330,2A330,UCCIANI
20331,2A331,URBALACONE
20332,2B332,URTACA
20333,2B333,VALLECALLE
20334,2B334,VALLE-D'ALESANI
20335,2B335,VALLE-DI-CAMPOLORO
20336,2A336,VALLE-DI-MEZZANA
20337,2B337,VALLE-DI-ROSTINO
20338,2B338,VALLE-D'OREZZA
20339,2B339,VALLICA
20340,2B340,VELONE-ORNETO
20341,2B341,VENACO
20342,2B342,VENTISERI
20343,2B343,VENZOLASCA
20344,2B344,VERDESE
20345,2A345,VERO
20346,2B346,VESCOVATO
20347,2B347,VEZZANI
20348,2A348,VICO
20349,2A349,VIGGIANELLO
20350,2B350,VIGNALE
20351,2A351,VILLANOVA
20352,2B352,VILLE-DI-PARASO
20353,2B353,VILLE-DI-PIETRABUGNO
20354,2B354,VIVARIO
20355,2B355,VOLPAJOLA
20356,2B356,ZALANA
20357,2A357,ZERUBIA
20358,2A358,ZEVACO
20359,2A359,ZICAVO
20360,2A360,ZIGLIARA
20361,2B361,ZILIA
20362,2A362,ZONZA
20363,2A363,ZOZA
20364,2B364,ZUANI
20365,2B365,SAN-GAVINO-DI-FIUMORBO
20366,2B366,CHISA
21019,21060,ARCON
21174,21461,CIREY
21188,21464,CONCUR-ET-CORBOIN
21206,21158,COURCHAMP
21318,21327,IVRY-EN-MONTAGNE
21443,21433,MORNAY
21453,21304,NEUVELLE-LES-GRANCEY
21509,21506,PRISSEY
21551,21084,SAINT-GERMAIN-SOURCE-SEINE
21654,21408,VANTOUX-LES-DIJON
21658,21195,VAUCHIGNON
21668,21667,VERONNES-LES-PETITES
21697,21433,VILLENEUVE-SUR-VINGEANNE
22007,22055,BINIC
22010,22266,BONEN
22017,22113,BRELEVENEZ
22022,22113,BUHULIEN
22051,22084,DOLO
22058,22183,FERRIERE
22066,22046,GOURAY
22080,22203,HERMITAGE-LORGE
22089,22162,KERITY
22102,22046,LANGOURLA
22120,22030,LANVEZEAC
22123,22050,LEHON
22125,22084,LESCOUET-JUGON
22130,22113,LOGUIVY-LES-LANNION
22142,22093,MAROUE
22151,22093,MESLIN
22159,22282,NOTRE-DAME-DU-GUILDO
22167,22107,PERRET
22191,22046,PLESSALA
22192,22209,PLESSIX-BALISSON
22230,22162,PLOUNEZ
22252,22093,POTERIE
22270,22093,SAINT-AARON
22290,22107,SAINT-GELVEN
22292,22046,SAINT-GILLES-DU-MENE
22297,22046,SAINT-GOUENO
22298,22158,SAINT-GUEN
22301,22084,SAINT-IGNEUC
22303,22046,SAINT-JACUT-DU-MENE
22329,22118,SAINT-SOLEN
22336,22113,SERVEL
22355,22093,TREGOMAR
22357,22209,TREGON
22367,22251,TREMELOIR
22374,22118,TRESSAINT
22382,22190,TRIGAVOU
23085,23093,FORGES
23094,23093,GOUZOUGNAT
23135,23227,MORTEROLLES
23153,23090,PIGEROLLES
23161,23149,RIMONDEIX
23163,23220,ROCHETTE
23231,23192,SAINT-PIERRE-DE-FURSAC
23256,23067,TRUCQ
24003,24082,AILLAC
24013,24053,ATUR
24017,24303,AURIAC-DE-BOURZAC
24033,24253,BEAUSSAC
24041,24087,BEZENAC
24044,24026,BLIS-ET-BORN
24047,24147,BOISSIERE-D'ANS
24049,24028,BORN-DE-CHAMPS
24065,24312,BREUILH
24072,24068,CADOUIN
24078,24520,CANEDA
24092,24362,CENDRIEUX
24093,24554,CERCLES
24099,24253,CHAMPEAUX-ET-LA-CHAPELLE-POMMIER
24103,24026,CHANGE
24112,24086,CHAPELLE-PECHAUD
24118,24316,CHENAUD
24125,24167,COGULOT
24149,24068,CUSSAC
24166,24026,EYLIAC
24169,24516,EYVIGNES-ET-EYBENES
24173,24168,FALGUEYRAT
24178,24490,FESTALEMPS
24185,24035,FONGALOP
24187,24263,FONTENILLES-D'AIGUEPARSE
24201,24260,GRAND-CASTANG
24203,24253,GRAULGES
24204,24117,GREZES
24219,24028,LABOUQUERIE
24235,24253,LEGUILLAC-DE-CERCLES
24239,24540,LIGUEUX
24250,24168,MANDACOU
24258,24312,MARSANEIX
24265,24294,MENESTEROL-MONTIGNAC
24270,24026,MILHAC-D'AUBEROCHE
24275,24549,MONBOS
24283,24253,MONSEC
24298,24142,MOUZENS
24310,24028,NOJALS-ET-CLOTTE
24315,24068,PALEYRAC
24332,24335,PONCHAPT
24333,24216,PONTEYRAUD
24342,24549,PUYGUILHEM
24343,24376,PUYMANGOU
24344,24253,PUYRENIER
24358,24167,ROUQUETTE
24363,24035,SAINT-AMAND-DE-BELVES
24368,24490,SAINT-ANTOINE-CUMOND
24369,24026,SAINT-ANTOINE-D'AUBEROCHE
24387,24356,SAINT-CERNIN-DE-REILLAC
24400,24585,SAINT-ETIENNE-DES-LANDES
24430,24064,SAINT-JULIEN-DE-BOURDEILLES
24435,24362,SAINT-LAURENT-DES-BATONS
24439,24053,SAINT-LAURENT-SUR-MANOIRE
24440,24229,SAINT-LAZARE
24447,24053,SAINTE-MARIE-DE-CHIGNAC
24467,24354,SAINT-MICHEL-DE-RIVIERE
24469,24354,SAINT-MICHEL-L'ECLUSE-ET-LEPARON
24475,24147,SAINT-PANTALY-D'ANS
24497,24028,SAINTE-SABINE-BORN
24503,24253,SAINT-SULPICE-DE-MAREUIL
24506,24167,SAINT-SULPICE-D'EYMET
24539,24172,SIREUIL
24556,24263,TRAPPE
24578,24338,VICQ
24579,24253,VIEUX-MAREUIL
24583,24547,VILLEDIEU
25010,25223,ALAISE
25023,25575,ARCIER
25028,25424,ATHOSE
25034,25035,AUXON-DESSOUS
25037,25036,AVENEY
25064,25433,BLANCHEFONTAINE
25068,25313,BOIS-LA-VILLE
25069,25527,BOISMURIE
25076,25434,BONNEVAUX-LE-PRIEURE
25080,25486,BOUJEONS
25081,25127,BOULOIS
25118,25047,CHAMPVANS-LES-BAUME
25123,25222,CHARBONNIERES-LES-SAPINS
25128,25424,CHASNANS
25135,25138,CHATILLON-SOUS-MAICHE
25137,25368,CHAUDEFONTAINE
25144,25505,CHAZELOT
25146,25101,CHAZOY
25158,25524,COLOMBIER-CHATELOT
25165,25101,CORDIRON
25167,25374,COTTIER
25168,25223,COULANS-SUR-LIZON
25169,25138,COURCELLES-LES-CHATILLON
25205,25223,DOULAIZE
25206,25051,DROITFONTAINE
25260,25392,FRIOLAIS
25272,25018,GLAINANS
25291,25417,GRANGES-DE-VIENNEY
25292,25334,GRANGES-MAILLOT
25294,25320,GRANGES-SAINTE-MARIE
25302,25424,HAUTEPIERRE-LE-CHATELET
25319,25334,LABERGEMENT-DU-NAVOIS
25337,25357,LIEVREMONT
25352,25288,LUISANS
25353,25468,LUSANS
25358,25537,MAISIERES-NOTRE-DAME
25363,25187,MAMBOUHANS
25396,25505,MONTFERNEY
25399,25460,MONTFORT
25407,25275,MONTURSIN
25409,25505,MORCHAMPS
25412,25519,MOUILLEVILLERS
25423,25138,NEUVIER
25480,25424,RANTECHAUX
25484,25223,REFRANCHE
25509,25438,ROUTELLE
25530,25529,SANCEY-LE-LONG
25531,25156,SANTOCHE
25543,25385,SERVIGNEY
25568,25018,TOURNEDOZ
25576,25575,VAIRE-LE-PETIT
25577,25485,VAIVRE
25581,25212,VALENTIN
25585,25424,VANCLANS
25587,25078,VAUCHAMPS
25593,25147,VAUX-LES-PRES
25603,25463,VERMONDANS
25606,25275,VERNOIS-LE-FOL
25610,25222,VERRIERES-DU-GROSBOIS
25636,25601,VILLEDIEU-LE-CAMP
26029,26136,BATIE-CREMEZIN
26044,26276,BECONNE
26053,26055,BONNEVAL-EN-DIOIS
26109,26354,CREYERS
26120,26128,ESCOULIN
26132,26199,FARE
26151,26262,JANSAC
26158,26091,LAUX-MONTAUX
26187,26001,MOLIERES-GLANDAZ
26230,26321,PETIT-PARIS
26237,26136,PILHON
26260,26055,RAVEL-ET-FERRIERS
26265,26020,REPARA
26280,26365,ROCHETTE-SUR-CREST
26366,26179,VEAUNES
27007,27049,AJOU
27024,27198,RONCENAY-AUTHENAY
27029,27025,AUTHOUILLET
27030,27427,AUVERGNY
27041,27049,BARRE-EN-OUCHE
27058,27676,BERNIERES-SUR-SEINE
27060,27213,BERTHENONVILLE
27080,27416,BOISSY-SUR-DAMVILLE
27084,27105,BOSC-BENARD-COMMIN
27086,27105,BOSCHERVILLE
27087,27138,BOSC-MOREL
27088,27049,BOSC-RENOULT-EN-OUCHE
27092,27062,BOSGUERARD-DE-MARCOUVILLE
27093,27090,BOSNORMAND
27121,27213,BUS-SAINT-REMY
27122,27213,CAHAIGNES
27128,27213,CANTIERS
27131,27425,CARSIX
27145,27157,CHANTELOUP
27150,27554,CHAPELLE-REANVILLE
27159,27112,CINTRAY
27160,27213,CIVIERES
27166,27198,CONDE-SUR-ITON
27172,27032,CORNEUIL
27178,27693,COULONGES
27186,27416,CRETON
27195,27578,DAME-MARIE
27197,27213,DAMPSMESNIL
27211,27191,ECARDENVILLE-SUR-EURE
27221,27049,EPINAY
27223,27085,EPREVILLE-EN-ROUMOIS
27225,27157,ESSARTS
27236,27106,FAVEROLLES-LES-MARES
27244,27085,FLANCOURT-CATELON
27250,27191,FONTAINE-HEUDEBOURG
27253,27425,FONTAINE-LA-SORET
27255,27213,FONTENAY-EN-VEXIN
27257,27213,FORET-LA-FOLIE
27262,27213,FOURGES
27264,27213,FOURS-EN-VEXIN
27265,27679,FRANCHEVILLE
27268,27447,FRESNE
27272,27096,FRETILS
27274,27294,GAILLARDBOIS-CRESSENVILLE
27283,27049,GISAY-LA-COUDRE
27292,27049,GOUTTIERES
27293,27198,GOUVILLE
27296,27049,GRANCHAIN
27303,27565,GUERNANVILLE
27305,27112,GUEROULDE
27308,27213,GUITRY
27314,27331,HARICOURT
27328,27297,HELLENVILLIERS
27344,27062,HOULBEC-PRES-LE-GROS-THEIL
27352,27105,INFREVILLE
27356,27049,JONQUERETS-DE-LIVET
27357,27415,JOUVEAUX
27362,27049,LANDEPEREUSE
27387,27198,MANTHELON
27402,27447,MESNIL-HARDRAY
27409,27198,MINIERES
27443,27528,NOTRE-DAME-DU-VAUDREUIL
27449,27213,PANILLEUSE
27450,27206,PANLATTE
27452,27425,PERRIERS-LA-CAMPAGNE
27461,27003,PLANCHES
27479,27153,PROVEMONT
27484,27277,QUESSIGNY
27494,27198,RONCENAY
27499,27049,ROUSSIERE
27503,27198,SACQ
27506,27011,SAINT-AMAND-DES-HAUTES-TERRES
27509,27414,SAINT-AQUILIN-D'AUGERONS
27510,27448,SAINT-AQUILIN-DE-PACY
27513,27049,SAINT-AUBIN-DES-HAYES
27515,27049,SAINT-AUBIN-LE-GUICHARD
27519,27022,SAINTE-BARBE-SUR-GAILLON
27526,27107,SAINTE-CROIX-SUR-AIZIER
27532,27157,SAINT-DENIS-DU-BEHELAN
27549,27467,SAINT-GERMAIN-VILLAGE
27559,27361,SAINT-LEGER-SUR-BONNEVILLE
27566,27049,SAINTE-MARGUERITE-EN-OUCHE
27573,27578,SAINT-NICOLAS-D'ATTEZ
27574,27302,SAINT-NICOLAS-DU-BOSC
27575,27129,SAINT-NICOLAS-DU-BOSC-L'ABBE
27583,27533,SAINT-PAER
27585,27467,SAINT-PAUL-SUR-RISLE
27588,27554,SAINT-PIERRE-D'AUTILS
27596,27049,SAINT-PIERRE-DU-MESNIL
27619,27424,SEEZ-MESNIL
27626,27089,THEILLEMENT
27628,27049,THEVRAY
27634,27032,THOMER-LA-SOGNE
27636,27638,THUIT-ANGER
27637,27105,THUIT-HEBERT
27639,27638,THUIT-SIMER
27642,27290,TILLEUL-OTHON
27647,27676,TOSNY
27648,27412,TOSTES
27651,27471,TOURNEDOS-SUR-SEINE
27653,27213,TOURNY
27657,27089,TOUVILLE
27675,27096,VAUX-SUR-RISLE
27687,27022,VIEUX-VILLEZ
27688,27693,VILLALET
28011,28023,ARMENONVILLE-LES-GATINEAUX
28017,28103,AUTHEUIL
28020,28406,BAIGNOLET
28042,28015,BLEURY
28043,28226,BLEVY
28044,28012,BOISGASSON
28066,28127,BULLOU
28069,28185,CHAMPAGNE
28083,28103,CHARRAY
28093,28012,CHATILLON-EN-DUNOIS
28097,28393,CHENE-CHENU
28101,28330,CIVRY
28115,28012,COURTALAIN
28125,28226,DAMPIERRE-SUR-BLEVY
28131,91016,DOMMERVILLE
28133,28103,DOUY
28138,28393,ECUBLE
28145,28406,FAINS-LA-FOLIE
28150,28103,FERTE-VILLENEUIL
28152,28226,FEUILLEUSE
28174,28386,GATELLES
28179,28406,GERMIGNONVILLE
28181,28393,GIRONVILLE-ET-NEUVILLE
28186,28183,GRANDVILLE-GAUDREVILLE
28204,28012,LANGEY
28224,28330,LUTZ-EN-DUNOIS
28228,28120,MAINTERNE
28238,28360,MARVILLE-LES-BOIS
28241,28103,MEE
28244,28002,MERVILLIERS
28250,28127,MEZIERES-AU-PERCHE
28258,28422,MONTAINVILLE
28262,28103,MONTIGNY-LE-GANNELON
28266,28168,MONTLOUET
28288,28183,ORLU
28295,28330,OZOIR-LE-BREUIL
28297,28383,PEZY
28307,28056,PROUAIS
28318,28103,ROMILLY-SUR-AIGRE
28320,28422,ROUVRAY-SAINT-FLORENTIN
28328,28393,SAINT-CHERON-DES-CHAMPS
28338,28034,SAINT-GERMAIN-LA-GATINE
28340,28103,SAINT-HILAIRE-SUR-YERRE
28345,28048,SAINT-LOUP
28356,28012,SAINT-PELLERIN
28361,28015,SAINT-SYMPHORIEN-LE-CHATEAU
28381,28373,TARDAIS
28384,28393,THEUVY-ACHERES
28399,28279,VACHERESSES-LES-BASSES
28402,28254,VERIGNY
28413,28373,VILLE-AUX-NONAINS
28416,28422,VILLENEUVE-SAINT-NICOLAS
28420,28120,VITRAY-SOUS-BREZOLLES
29009,29039,BEUZEC-CONQ
29050,29232,ERGUE-ARMEL
29052,29003,ESQUIBIEN
29088,29232,KERFEUNTEUN
29092,29241,KERNEVEL
29096,29019,LAMBEZELLEC
29118,29039,LANRIEC
29121,29221,LARRET
29127,29266,LOC-EGUINER-SAINT-THEGONNEC
29138,29302,LOGONNA-QUIMERCH
29149,29076,MILIZAC
29154,29217,NIZON
29157,29232,PENHARS
29164,29046,PLOARE
29194,29024,PLOUGUER
29200,29151,PLOUJEAN
29203,29021,PLOUNEOUR-TREZ
29223,29046,POULDAVID-SUR-MER
29231,29302,QUIMERCH
29242,29053,RUMENGOL
29253,29019,SAINT-MARC
29258,29019,SAINT-PIERRE-QUILBIGNON
29283,29046,TREBOUL
2A237,2A308,POGGIO-DI-TALLANO
2A294,2A308,SANT'ANDREA-DI-TALLANO
2A325,2A249,TIVOLAGGIO
2B044,2B063,BRUSTICO
2B076,2B167,CASSANO
2B151,2B167,LUNGHIGNANO
30063,30058,CAMBO
30078,30325,CEZAS
30118,30037,FOUSSIGNARGUES
31016,31085,ARGUT-DESSUS
31154,31085,COULEDOUX
31214,31144,GAUD
31257,31287,LACASSE
31307,31412,LUNAX
31438,31277,PRADERE-LES-BOURGUETS
32006,32348,ARCAMONT
32011,32426,ARTIGUEDIEU
32137,32268,GARBIC
32168,32079,LABARRERE
32179,32462,LAGRAULAS
32259,32065,MONBERT
33041,33042,BELIET
33091,33268,CANTENAC
33107,33106,CASTILLON-DE-CASTETS
33110,33063,CAUDERAN
33217,33341,LAFOSSE
33265,33339,MARCAMPS
33286,33342,MONBADON
33313,33290,PARSAC
33340,33506,PUCH
33368,33287,SAINT-ANDRE-DU-GARN
33371,33018,SAINT-ANTOINE
33410,33290,SAINT-GEORGES
33430,33506,SAINT-LEGER-DE-VIGNAGUE
33455,33378,SAINT-NAZAIRE
33469,33506,SAINT-ROMAIN-DE-VIGNAGUE
33495,33018,SALIGNAC
33497,33175,SALLEBRUNEAU
34275,34186,SAINT-MARTIN-DES-COMBES
35020,35130,BAZOUGES-SOUS-HEDE
35036,35064,BRAIN-SUR-VILAINE
35043,35068,BROONS-SUR-VILAINE
35048,35168,CAMPEL
35073,35206,CHATILLON-SUR-SEICHE
35074,35096,CHAUMERE
35083,35191,COGLES
35129,35176,GUIPRY
35158,35060,LOU-DU-LAC
35182,35240,MOIGNE
35209,35069,OSSE
35213,35288,PARAME
35254,35069,SAINT-AUBIN-DU-PAVAIL
35267,35257,SAINT-ETIENNE-EN-COGLES
35298,35068,SAINT-MELAINE
35313,35288,SAINT-SERVAN-SUR-MER
35323,35191,SELLE-EN-COGLES
35349,35069,VENEFFLES
36039,36070,CHANTOME
36151,36229,PARPECAY
36183,36229,SAINTE-CECILE
36201,36093,SAINT-MARTIN-DE-LAMPS
36245,36202,VILLERS-LES-ORMES
37017,37115,BALESMES
37102,37123,ESSARDS
37120,37232,INGRANDES-DE-TOURAINE
37135,37021,LOUESTAULT
37164,37163,NEGRON
37209,37254,SAINT-BAULD
37215,37003,SAINT-DENIS-HORS
37227,37232,SAINT-MICHEL-SUR-LOIRE
37235,37261,SAINTE-RADEGONDE-EN-TOURAINE
37239,37261,SAINT-SYMPHORIEN
38007,38524,ALLIERES-ET-RISSET
38014,38297,ARANDON
38021,38225,AUTRANS
38024,38152,BADINIERES
38028,38001,BATIE-DIVISIN
38079,69270,CHAPONNAY
38088,69271,CHASSIEU
38096,38085,CHAVAGNEUX-MONTBERTAND
38119,69299,COLOMBIER-SAUGNIEU
38122,69272,COMMUNAY
38123,69273,CORBAS
38125,38456,CORDEAC
38142,38543,CURTIN
38143,69275,DECINES-CHARPIEU
38145,38359,DIONAY
38164,69276,FEYZIN
38165,38001,FITILIEU
38168,38315,FOLATIERE
38178,69277,GENAS
38196,38053,JALLIEU
38201,69279,JONAGE
38202,69280,JONS
38220,69281,MARENNES
38227,38139,MEPIEU
38233,69282,MEYZIEU
38234,69283,MIONS
38251,38348,MONTCEAU
38262,38439,MORETEL-DE-MAILLES
38305,38292,PIN
38312,38407,POMMIERS-LA-PLACETTE
38327,69285,PUSIGNAN
38371,69287,SAINT-BONNET-DE-MURE
38385,38226,SAINT-GENIS
38411,69288,SAINT-LAURENT-DE-MURE
38441,69289,SAINT-PIERRE-DE-CHANDIEU
38447,69290,SAINT-PRIEST
38461,69291,SAINT-SYMPHORIEN-D'OZON
38477,38224,SAVEL
38482,69294,SEREZIN-DU-RHONE
38491,69295,SIMANDRES
38493,69296,SOLAIZE
38502,69297,TERNAY
38506,38022,THUELLIN
38510,69298,TOUSSIEU
38534,38253,VENOSC
38541,38022,VEYRINS-THUELLIN
39005,39385,ABERGEMENT-SAINT-JEAN
39012,25527,ANTORPE
39023,39378,AUBEPIN
39033,39198,AZANS
39036,39209,BALME-D'EPY
39044,39022,BEAUVOISIN
39064,39576,BONNAUD
39067,39049,BOUCHAUD
39069,39485,BOURCIA
39071,39397,BOURGET
39082,39018,CEFFIA
39087,39370,CERTEMERY
39098,39133,CHAMPAGNY
39123,39290,CHATONNAY
39125,39478,CHAUMONT
39135,39378,CHAZELLES
39144,39478,CHEVRY
39148,39016,CHISSERIA
39152,39478,CINQUETRAL
39158,39530,COISIA
39161,39331,COMMUNAILLES-EN-MONTAGNE
39181,39493,CRILLAT
39186,39491,CUTTURA
39195,39273,DESSIA
39212,39331,ESSAVILLY
39213,39329,ESSERVAL-COMBE
39215,39021,ESSIA
39224,39290,FETIGNY
39226,39209,FLORENTIA
39231,39436,FONTENY
39242,39331,FROIDEFONTAINE
39243,39577,FROIDEVILLE
39256,39198,GOUX
39257,39561,GRAND-CHATEL
39260,39177,GRANGES-SUR-BAUME
39264,39576,GRUSSE
39276,39209,LANERIA
39294,39368,LEZAT
39303,39485,LOUVENNE
39309,39537,MALLEREY
39311,39504,MARANGEA
39316,39188,MARPAIN
39332,39177,MIREBEL
39340,39329,MOLPRE
39341,39510,MOLUNES
39347,39273,MONTAGNA-LE-TEMPLIER
39357,39504,MONTJOUVENT
39358,39479,MONTMALIN
39369,39010,MORVAL
39371,39368,MOUILLE
39374,39436,MOUTAINE
39382,39209,NANTEY
39383,39205,NENON
39384,39504,NERMIER
39410,39424,PERRENA
39416,39331,PETIT-VILLARD
39433,39209,POISOUX
39438,39286,PONTHOUX
39442,39130,PRENOVEL
39450,39478,RANCHETTE
39459,39258,RIVIERE-DEVANT
39482,39017,SAINT-GERMAIN-LES-ARLAY
39488,39021,SAINT-LAURENT-LA-ROCHE
39496,39198,SAINT-YLIE
39506,39290,SAVIGNA
39509,39209,SENAUD
39515,39397,SEZERIA
39516,39579,SIEGES
39521,39154,SOYRIA
39524,39367,TANCUA
39536,39517,TREFFAY
39541,39478,VALFIN-LES-SAINT-CLAUDE
39542,39583,VALFIN-SUR-VALOUSE
39544,39021,VARESSIA
39549,39576,VERCIA
39563,39313,VILLARD-SUR-L'AIN
39564,39485,VILLECHANTRIA
39566,39018,VILLENEUVE-LES-CHARNOD
39578,39086,VIREMONT
39580,39049,VISENEY
40010,40267,AROUILLE
40045,40200,BIGANON
40048,40243,BOOS
40241,40227,RICHET
41005,41248,ARVILLE
41011,41171,BAIGNEAUX
41015,41171,BEAUVILLIERS
41021,41273,BOSSE
41023,41151,BOURRE
41033,41142,CHAMBON-SUR-CISSE
41056,41173,COLOMBE
41064,41055,COULANGES
41076,41273,ECOMAN
41111,41194,LANTHENAY
41117,41199,LONGPRE
41133,41173,MEMBROLLES
41162,41220,NOUAN-SUR-LOIRE
41165,41248,OIGNY
