"id","code","uw","deltar","ujn","est_efface"
"1","TV012_001","1.20","0.08","1.10","0"
"2","TV012_002","1.30","0.08","1.20","0"
"3","TV012_003","1.40","0.08","1.30","0"
"4","TV012_004","1.50","0.08","1.40","0"
"5","TV012_005","1.60","0.08","1.50","0"
"6","TV012_006","1.70","0.08","1.60","0"
"7","TV012_007","1.80","0.08","1.70","0"
"8","TV012_008","1.90","0.08","1.80","0"
"9","TV012_009","2.00","0.08","1.90","0"
"10","TV012_010","2.10","0.08","1.90","0"
"11","TV012_011","2.20","0.08","2.00","0"
"12","TV012_012","2.30","0.08","2.10","0"
"13","TV012_013","2.40","0.08","2.20","0"
"14","TV012_014","2.50","0.08","2.30","0"
"15","TV012_015","2.60","0.08","2.40","0"
"16","TV012_016","2.70","0.08","2.50","0"
"17","TV012_017","2.80","0.08","2.50","0"
"18","TV012_018","2.90","0.08","2.60","0"
"19","TV012_019","3.00","0.08","2.70","0"
"20","TV012_020","3.20","0.08","2.90","0"
"21","TV012_021","3.40","0.08","3.00","0"
"22","TV012_022","3.60","0.08","3.20","0"
"23","TV012_023","3.80","0.08","3.40","0"
"24","TV012_024","4.00","0.08","3.50","0"
"25","TV012_025","4.20","0.08","3.70","0"
"26","TV012_026","4.40","0.08","3.80","0"
"27","TV012_027","4.60","0.08","4.00","0"
"28","TV012_028","4.80","0.08","4.10","0"
"29","TV012_029","5.00","0.08","4.30","0"
"30","TV012_030","5.20","0.08","4.40","0"
"31","TV012_031","5.40","0.08","4.60","0"
"32","TV012_032","5.60","0.08","4.70","0"
"33","TV012_033","5.80","0.08","4.90","0"
"34","TV012_034","6.00","0.08","5.00","0"
"35","TV012_035","6.20","0.08","5.20","0"
"36","TV012_036","1.20","0.14","1.10","0"
"37","TV012_037","1.30","0.14","1.20","0"
"38","TV012_038","1.40","0.14","1.30","0"
"39","TV012_039","1.50","0.14","1.40","0"
"40","TV012_040","1.60","0.14","1.50","0"
"41","TV012_041","1.70","0.14","1.50","0"
"42","TV012_042","1.80","0.14","1.60","0"
"43","TV012_043","1.90","0.14","1.70","0"
"44","TV012_044","2.00","0.14","1.80","0"
"45","TV012_045","2.10","0.14","1.90","0"
"46","TV012_046","2.20","0.14","1.90","0"
"47","TV012_047","2.30","0.14","2.00","0"
"48","TV012_048","2.40","0.14","2.10","0"
"49","TV012_049","2.50","0.14","2.20","0"
"50","TV012_050","2.60","0.14","2.30","0"
"51","TV012_051","2.70","0.14","2.30","0"
"52","TV012_052","2.80","0.14","2.40","0"
"53","TV012_053","2.90","0.14","2.50","0"
"54","TV012_054","3.00","0.14","2.60","0"
"55","TV012_055","3.20","0.14","2.70","0"
"56","TV012_056","3.40","0.14","2.90","0"
"57","TV012_057","3.60","0.14","3.00","0"
"58","TV012_058","3.80","0.14","3.10","0"
"59","TV012_059","4.00","0.14","3.30","0"
"60","TV012_060","4.20","0.14","3.40","0"
"61","TV012_061","4.40","0.14","3.60","0"
"62","TV012_062","4.60","0.14","3.70","0"
"63","TV012_063","4.80","0.14","3.80","0"
"64","TV012_064","5.00","0.14","4.00","0"
"65","TV012_065","5.20","0.14","4.10","0"
"66","TV012_066","5.40","0.14","4.20","0"
"67","TV012_067","5.60","0.14","4.40","0"
"68","TV012_068","5.80","0.14","4.50","0"
"69","TV012_069","6.00","0.14","4.60","0"
"70","TV012_070","6.20","0.14","4.80","0"
"71","TV012_071","1.20","0.19","1.10","0"
"72","TV012_072","1.30","0.19","1.20","0"
"73","TV012_073","1.40","0.19","1.30","0"
"74","TV012_074","1.50","0.19","1.30","0"
"75","TV012_075","1.60","0.19","1.40","0"
"76","TV012_076","1.70","0.19","1.50","0"
"77","TV012_077","1.80","0.19","1.60","0"
"78","TV012_078","1.90","0.19","1.60","0"
"79","TV012_079","2.00","0.19","1.70","0"
"80","TV012_080","2.10","0.19","1.80","0"
"81","TV012_081","2.20","0.19","1.90","0"
"82","TV012_082","2.30","0.19","2.00","0"
"83","TV012_083","2.40","0.19","2.00","0"
"84","TV012_084","2.50","0.19","2.10","0"
"85","TV012_085","2.60","0.19","2.20","0"
"86","TV012_086","2.70","0.19","2.20","0"
"87","TV012_087","2.80","0.19","2.30","0"
"88","TV012_088","2.90","0.19","2.40","0"
"89","TV012_089","3.00","0.19","2.50","0"
"90","TV012_090","3.20","0.19","2.60","0"
"91","TV012_091","3.40","0.19","2.70","0"
"92","TV012_092","3.60","0.19","2.90","0"
"93","TV012_093","3.80","0.19","3.00","0"
"94","TV012_094","4.00","0.19","3.10","0"
"95","TV012_095","4.20","0.19","3.30","0"
"96","TV012_096","4.40","0.19","3.40","0"
"97","TV012_097","4.60","0.19","3.50","0"
"98","TV012_098","4.80","0.19","3.70","0"
"99","TV012_099","5.00","0.19","3.80","0"
"100","TV012_100","5.20","0.19","3.90","0"
"101","TV012_101","5.40","0.19","4.00","0"
"102","TV012_102","5.60","0.19","4.20","0"
"103","TV012_103","5.80","0.19","4.30","0"
"104","TV012_104","6.00","0.19","4.40","0"
"105","TV012_105","6.20","0.19","4.50","0"
"106","TV012_106","1.20","0.25","1.10","0"
"107","TV012_107","1.30","0.25","1.10","0"
"108","TV012_108","1.40","0.25","1.20","0"
"109","TV012_109","1.50","0.25","1.30","0"
"110","TV012_110","1.60","0.25","1.40","0"
"111","TV012_111","1.70","0.25","1.40","0"
"112","TV012_112","1.80","0.25","1.50","0"
"113","TV012_113","1.90","0.25","1.60","0"
"114","TV012_114","2.00","0.25","1.70","0"
"115","TV012_115","2.10","0.25","1.70","0"
"116","TV012_116","2.20","0.25","1.80","0"
"117","TV012_117","2.30","0.25","1.90","0"
"118","TV012_118","2.40","0.25","2.00","0"
"119","TV012_119","2.50","0.25","2.00","0"
"120","TV012_120","2.60","0.25","2.10","0"
"121","TV012_121","2.70","0.25","2.20","0"
"122","TV012_122","2.80","0.25","2.20","0"
"123","TV012_123","2.90","0.25","2.30","0"
"124","TV012_124","3.00","0.25","2.40","0"
"125","TV012_125","3.20","0.25","2.50","0"
"126","TV012_126","3.40","0.25","2.60","0"
"127","TV012_127","3.60","0.25","2.70","0"
"128","TV012_128","3.80","0.25","2.90","0"
"129","TV012_129","4.00","0.25","3.00","0"
"130","TV012_130","4.20","0.25","3.10","0"
"131","TV012_131","4.40","0.25","3.20","0"
"132","TV012_132","4.60","0.25","3.40","0"
"133","TV012_133","4.80","0.25","3.50","0"
"134","TV012_134","5.00","0.25","3.60","0"
"135","TV012_135","5.20","0.25","3.70","0"
"136","TV012_136","5.40","0.25","3.80","0"
"137","TV012_137","5.60","0.25","4.00","0"
"138","TV012_138","5.80","0.25","4.10","0"
"139","TV012_139","6.00","0.25","4.20","0"
"140","TV012_140","6.20","0.25","4.30","0"
