"id","code","tv042_tarif_energie_type_energie_id","ps","ps_min","ps_max","puissance_souscrite","tarif","consommation","conso_min","conso_max","abonnement","prix_kwh","hc","hp","date_debut","date_fin","est_efface"
"1","TV042_001","1","Ps ? 6,9 kVA","NULL","6.90","6 kVA simple tarif","simple","NULL","NULL","NULL","78.250","11.860","11.860","11.860","2013-01-01","2015-12-06","0"
"2","TV042_002","1","Ps ? 6,9 kVA","NULL","6.90","6 kVA double tarif","double","NULL","NULL","NULL","94.060","11.440","8.930","13.110","2013-01-01","2015-12-06","0"
"3","TV042_003","1","6,9 kVA < Ps ? 10,35 kVA","6.90","10.35","9 kVA simple tarif","simple","NULL","NULL","NULL","91.250","12.090","12.090","12.090","2013-01-01","2015-12-06","0"
"4","TV042_004","1","6,9 kVA < Ps ? 10,35 kVA","6.90","10.35","9 kVA double tarif","double","NULL","NULL","NULL","112.870","11.440","8.930","13.110","2013-01-01","2015-12-06","0"
"5","TV042_005","1","10,35 kVA < Ps ? 13,80 kVA","10.35","13.80","12 kVA double tarif","double","NULL","NULL","NULL","191.590","11.440","8.930","13.110","2013-01-01","2015-12-06","0"
"6","TV042_006","1","13,80 kVA < Ps ? 17,25 kVA","13.80","17.25","15 kVA double tarif","double","NULL","NULL","NULL","225.470","11.440","8.930","13.110","2013-01-01","2015-12-06","0"
"7","TV042_007","1","17,25 kVA < Ps < 36 kVA ","17.25","NULL","? 18 kVA double tarif","double","NULL","NULL","NULL","257.190","11.440","8.930","13.110","2013-01-01","2015-12-06","0"
"8","TV042_008","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8.630","NULL","NULL","2013-01-01","2015-12-06","0"
"9","TV042_009","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7.480","NULL","NULL","2013-01-01","2015-12-06","0"
"10","TV042_010","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12.960","NULL","NULL","2013-01-01","2015-12-06","0"
"11","TV042_011","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6.520","NULL","NULL","2013-01-01","2015-12-06","0"
"12","TV042_012","6","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3.530","NULL","NULL","2013-01-01","2015-12-06","0"
"13","TV042_013","7","NULL","NULL","NULL","NULL","NULL","de 0 à 1 000 kWh","0","1000","44.690","9.100","NULL","NULL","2013-01-01","2015-12-06","0"
"14","TV042_014","7","NULL","NULL","NULL","NULL","NULL","de 1 000 à 7 000 kWh","1000","7000","59.000","7.750","NULL","NULL","2013-01-01","2015-12-06","0"
"15","TV042_015","7","NULL","NULL","NULL","NULL","NULL","de 7 000 à 30 000 kWh","7000","30000","186.860","5.240","NULL","NULL","2013-01-01","2015-12-06","0"
"16","TV042_016","7","NULL","NULL","NULL","NULL","NULL","de 30 000kWh à 150 000kWh","30000","150000","186.860","5.240","NULL","NULL","2013-01-01","2015-12-06","0"
"17","TV042_017","1","> 36 kVA","36.00","NULL","tarif jaune","jaune","Chauffage","NULL","NULL","30.720","9.350","NULL","NULL","2013-04-01","NULL","0"
"18","TV042_018","1","> 36 kVA","36.00","NULL","tarif jaune","jaune","ECS (si collective)","NULL","NULL","30.720","6.650","NULL","NULL","2013-04-01","NULL","0"
"19","TV042_019","1","> 36 kVA","36.00","NULL","tarif jaune","jaune","Climatisation","NULL","NULL","30.720","4.300","NULL","NULL","2013-04-01","NULL","0"
"20","TV042_020","7","NULL","NULL","NULL","NULL","NULL","au-delà de 150 000 kWh","150000","NULL","965.160","4.270","NULL","NULL","2013-04-01","NULL","0"
"21","TV042_001","1","3 kVA < Ps <= 6,9 kVA","3.00","6.90","6 kVA simple tarif","simple","","NULL","NULL","86.480","14.400","15.720","10.960","2015-12-07","NULL","0"
"22","TV042_002","1","3 kVA < Ps <= 6,9 kVA","3.00","6.90","6 kVA double tarif","double","","NULL","NULL","92.530","13.820","15.720","10.960","2015-12-07","NULL","0"
"23","TV042_003","1","6,9 kVA < Ps <= 10,35 kVA","6.90","10.35","9 kVA simple tarif","simple","","NULL","NULL","114.630","14.400","15.720","10.960","2015-12-07","NULL","0"
"24","TV042_004","1","6,9 kVA < Ps <= 10,35 kVA","6.90","10.35","9 kVA double tarif","double","","NULL","NULL","123.950","13.820","15.720","10.960","2015-12-07","NULL","0"
"25","TV042_005","1","10,35 kVA < Ps <= 13,80 kVA","10.35","13.80","12 kVA double tarif","double","","NULL","NULL","200.680","13.820","15.720","10.960","2015-12-07","NULL","0"
"26","TV042_006","1","13,80 kVA < Ps <= 17,25 kVA","13.80","17.25","15 kVA double tarif","double","","NULL","NULL","232.540","13.820","15.720","10.960","2015-12-07","NULL","0"
"27","TV042_007","1","17,25 kVA < Ps <= 36 kVA ","17.25","NULL","18 kVA double tarif","double","","NULL","NULL","261.620","13.820","15.720","10.960","2015-12-07","NULL","0"
"28","TV042_008","2","","NULL","NULL","","NULL","","NULL","NULL","0.000","7.200","NULL","NULL","2015-12-07","NULL","0"
"29","TV042_009","3","","NULL","NULL","","NULL","","NULL","NULL","0.000","8.810","NULL","NULL","2015-12-07","NULL","0"
"30","TV042_010","4","","NULL","NULL","","NULL","","NULL","NULL","0.000","11.510","NULL","NULL","2015-12-07","NULL","0"
"31","TV042_011","5","","NULL","NULL","","NULL","","NULL","NULL","0.000","6.520","NULL","NULL","2015-12-07","NULL","0"
"32","TV042_012","6","","NULL","NULL","","NULL","","NULL","NULL","0.000","3.940","NULL","NULL","2015-12-07","NULL","0"
"33","TV042_013","7","","NULL","NULL","","NULL","de 0 à 1 000 kWh","0","1000","74.750","9.750","NULL","NULL","2015-12-07","NULL","0"
"34","TV042_014","7","","NULL","NULL","","NULL","de 1 000 à 7 000 kWh","1000","7000","89.390","7.650","NULL","NULL","2015-12-07","NULL","0"
"35","TV042_015","7","","NULL","NULL","","NULL","de 7 000 à 30 000 kWh","7000","30000","234.010","5.270","NULL","NULL","2015-12-07","NULL","0"
"36","TV042_016","7","","NULL","NULL","","NULL","de 30 000kWh à 150 000kWh","30000","150000","234.010","2.570","NULL","NULL","2015-12-07","NULL","0"
"37","TV042_021","1","Ps <= 3 kVA","NULL","3.00","3 kVA simple tarif","simple","","NULL","NULL","53.270","14.390","15.720","10.960","2015-12-07","NULL","0"
